Date,Headline,URL,Opening Text,Source,Country,Subregion,Language
29-Jan-2019 01:12PM,VR技术持续突破，新时代何时到来？,https://www.3wcoffee.com/qfnews/detail?id=1324,来源 | 万能的大熊（微信ID：zn10961242）\n作者 | 宗宁...,3W,China,,Chinese (simpl.)
29-Jan-2019 01:11PM,General Electric (NYSE:GE) Boosted by ValuEngine to Sell,http://bharatapress.com/2019/01/29/general-electric-nysege-upgraded-by-valuengine-to-sell/,ValuEngine upgraded shares of General Electric (NYSE:GE) from a strong sell rating to a sell rating in a research note issued to investors...,BharataPress,United States,,English
29-Jan-2019 01:08PM,GE delivers first aero-derivative gas turbine to Tobago,https://www.gastopowerjournal.com/projectsafinance/item/9345-ge-delivers-first-aero-derivative-gas-turbine-to-tobago,Trinidad & Tobago’s Cove Power Plant is now running on a new LM2500 aero-derivative turbine following a $132 million plant expansion. For...,Gas To Power Journal UK,United Kingdom,South East and London,English
29-Jan-2019 01:06PM,降价销售 ZUEP 13725,http://www.uggd.com/news/qynews/2019-01-29/30498925.html,降价销售 ZUEP 13725\ndpG模具联盟网\n\ndpG模具联盟网\n\ndpG模具联盟网\n\ndpG模具联盟网...,模具联盟网,China,Fujian,Chinese (simpl.)
29-Jan-2019 01:02PM,Corea del Sur donará una fragata a la Armada,http://www.fmimpacto107.com.ar/?p=88131,Argentina y Corea del Sur iniciaron el proceso de transferencia a título gratuito de una fragata que la Armada coreana retiró del servicio...,FM Impacto 107,Argentina,Corrientes regional,Spanish / Castilian
29-Jan-2019 01:02PM,福建诚信招标有限公司关于华侨大学校医院GE彩超维保服务项目公开招标公告,http://www.chinabidding.org.cn/BidInfoDetails_bid_11573103.html,项目编号:\n\n所在地区:\n福建\n\n所属行业:\n其它\n\n内容:\n为配合中国政府实施《中华人民共和国政府采购法》《中华人民共和国招标投标法》以及规范公共采购市场的需要；现将＂福建诚信招标有限公司关于华侨大学校医院GE彩超维保服务项目公开招标公告 ＂于...,中国政府采购招标网,China,Beijing,Chinese (simpl.)
29-Jan-2019 01:02PM,中科大学附一院（安徽省立医院）采购GE CT（Optima CT680 Quantum）维保项目的变更公告,http://www.chinabidding.org.cn/BidInfoDetails_bid_11573152.html,项目编号:\n\n所在地区:\n安徽\n\n所属行业:\n其它\n\n内容:\n为配合中国政府实施《中华人民共和国政府采购法》《中华人民共和国招标投标法》以及规范公共采购市场的需要；现将＂中科大学附一院（安徽省立医院）采购GE CT（Optima CT680 Quantum）维保项目的变更公告...,中国政府采购招标网,China,Beijing,Chinese (simpl.)
29-Jan-2019 01:01PM,Industri Kereta Api Nasional Berpeluang Jadi Pemain Global,http://www.neraca.co.id/article/112294/industri-kereta-api-nasional-berpeluang-jadi-pemain-global,NERACA\n\nJakarta – Industri kereta api nasional dinilai semakin berdaya saing seiring peningkatan kerja sama dengan perusahaan skala global...,Neraca,Indonesia,,Indonesian
29-Jan-2019 12:51PM,На заводе винторулевых колонок «Сапфир» монтируют инженерные коммуникации и силовое электрооборудование,http://www.energyland.info/news-show-tek-neftegaz-181914,Совместное предприятие НК «Роснефть» и General Electric «Сапфир» завершило строительно-монтажные работы завода винторулевых колонок -...,Energyland.info,Russia,,Russian
29-Jan-2019 12:51PM,Wind Turbine Operations Market to Showcase Vigorous Demand Until 2023,http://www.digitaljournal.com/pr/4130511,,Digital Journal,Canada,,English
29-Jan-2019 12:51PM,Dissolved Gas Analyzer Market to Showcase Vigorous Demand Until 2023,http://www.digitaljournal.com/pr/4130512,,Digital Journal,Canada,,English
29-Jan-2019 12:48PM,广电电气2018年净利增加9786万至1.25亿元 增长442%至564%,http://xinsanban.123.com.cn/show/1521-10311282.html,挖贝网1月29日消息，广电电气近日发布2018年业绩预增公告，公司预计2018年年度实现归属于上市公司股东的净利润与上年同期相比，将增加9786.16万元至1.25亿元，同比增加442.04%至564.00%。...,123校园联盟,China,Guangdong,Chinese (simpl.)
29-Jan-2019 12:46PM,ACORD Announces 2019 Board Of Directors,https://newyork.citybizlist.com/article/526996/acord-announces-2019-board-of-directors,"ACORD, the global standards-setting body for the insurance industry, today announced its 2019 Board of Directors. The ACORD Board continues...",Citybizlist New York,United States,New York,English
29-Jan-2019 12:43PM,赛车手也玩3D打印？纳斯卡车手投资创办了一家3D打印公司,http://xincailiao.com/news/news_detail.aspx?id=412488,纳斯卡是3D打印的早期采用者，因为它使他们的工程师能够更快地进行原型设计，测试更多的设计迭代次数，以确定什么使得汽车的速度更快。驱动程序经常参与测试过程，因此暴露在3D打印的奇迹中。布拉德·凯瑟洛夫斯基（Brad...,新材料在线,China,,Chinese (simpl.)
29-Jan-2019 12:42PM,雷沃谷神小麦机再添新秀 GE80-H御势而来,http://www.xjxnw.gov.cn/c/2019-01-29/1459156.shtml,雷沃谷神GE80-H小麦收获机...,新疆兴农网,China,Xinjiang,Chinese (simpl.)
29-Jan-2019 12:41PM,Global Water and Wastewater Treatment Equipment Industry,http://www.klkntv.com/story/39865920/global-water-and-wastewater-treatment-equipment-industry,This report analyzes the worldwide markets for Water and Wastewater Treatment Equipment in US$ Million by the following End-Use Segments:...,KLKN-TV ABC-8,United States,Nebraska,English
29-Jan-2019 12:41PM,Global Distribution Transformers Industry,http://www.klkntv.com/story/39864947/global-distribution-transformers-industry,This report analyzes the worldwide markets for Distribution Transformers in US$ by the following Equipment Class: Oil Filled Distribution...,KLKN-TV ABC-8,United States,Nebraska,English
29-Jan-2019 12:41PM,Global Fuses and Circuit Breakers Industry,http://www.klkntv.com/story/39864921/global-fuses-and-circuit-breakers-industry,This report analyzes the worldwide markets for Fuses and Circuit Breakers in US$ Million. Read the full report:...,KLKN-TV ABC-8,United States,Nebraska,English
29-Jan-2019 12:36PM,全球与中国变压器监控系统市场运营态势与发展前景分析报告,http://news.qihuiwang.com/chanpin/201901293242686.html,文章摘要：全球与中国变压器监控系统市场运营态势与发展前景分析报告2019～2025年@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-@$井$$-『报告编号』...,B2B行业资讯,China,Henan,Chinese (simpl.)
29-Jan-2019 12:33PM,专访 | 国货米小芽的降维打击成长经：从“嚼透”宝宝米到家庭场景“智造”,http://www.sohu.com/a/292089168_100132466,原标题：专访 | 国货米小芽的降维打击成长经：从“嚼透”宝宝米到家庭场景“智造”\n\n产业新物种...,搜狐财经,China,Beijing,Chinese (simpl.)
29-Jan-2019 12:32PM,领福袋，递健康 | 19元8项妇科体检、0元3次产检，等你领！，等你领！,http://www.pinlue.com/article/2019/01/2911/438083379832.html,阅\n\n收藏 赞 分享\n\n分享到：\n\n有问题 不懂\n\n别担心，还有我们\n\n咨询一下你就知道了\n\n反正咨询又不要钱\n\n玛丽特开咨询、预约平台！\n\n玛丽提供预约制服务\n\n编辑“姓名+电话+预约类型”发送至公众号\n\nor\n\n点击文章底部 阅读原文：直接与专家对话！\n\n即可预约！...,品略,China,,Chinese (simpl.)
29-Jan-2019 12:30PM,"From learner to leader: How businesses ride the artificial intelligence wave, and how you can formulate your AI strategy",https://yourstory.com/2019/01/business-artificial-intelligence-strategy/,"The need of the hour is for productive, effective, innovative and humane artificial intelligence solutions, as this bestselling author...",Yourstory,India,National,English
29-Jan-2019 12:28PM,"Bác sĩ Basma M’Barek, sống để khám phá điều mới mẻ",http://thoibao.today/paper/bac-si-basma-mbarek-song-de-kham-pha-dieu-moi-me-3833060,"Cuối năm 2018, tại lễ ra mắt diện mạo mới của Trung tâm Điều trị ung thư Hy Vọng Bệnh viện FV, cử tọa không khỏi ngỡ ngàng khi trưởng khoa...",Thời Báo,Viet Nam,,Vietnamese
29-Jan-2019 12:27PM,医疗器械行业加速发展，2019Medtec中国展规模再创新高,http://www.labbase.net/News/ShowNewsDetails-1-23-0AFEF7FC060EA56C.html,上海2019年1月29日电 /美通社/ --...,来宝网实验室仪器,China,Shandong,Chinese (simpl.)
29-Jan-2019 12:23PM,Vietnam – one of best investment havens: PM,http://www.mofa.gov.vn/en/nr040807104143/nr040807105001/ns190129093908,"(TGVN) - Prime Minister Nguyen Xuan Phuc chaired a dialogue with executives of nearly 40 multinational groups in Davos, Switzerland, on...",Bộ Ngoại giao_en,Viet Nam,,English
29-Jan-2019 12:20PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.oldies977lubbock.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",Oldies 97.7,United States,,English
29-Jan-2019 12:19PM,Stellplatzsatzung soll geändert werden,https://plus.pnp.de/lokales/pocking/3211429_Stellplatzsatzung-soll-geaendert-werden.html,"Pocking. Die Mitglieder des Bau- und Grundstücksausschusses treffen sich am heutigen Dienstag, 29. Januar, zu ihrer nächsten Sitzung. Auf...",PNP Plus,Germany,,German
29-Jan-2019 12:16PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.kake.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",Kake,United States,Kansas,English
29-Jan-2019 12:16PM,医疗器械行业加速发展，2019Medtec中国展规模再创新高,https://www.china.cn/zixun/20190129/n9112.html,上海2019年1月29日电 --...,中国供应商,China,Beijing,Chinese (simpl.)
29-Jan-2019 12:16PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.valleyscw.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of &lsquo;Global Electrophysiology Catheters Market Insights, Forecast to 2025&rsquo; report are to define and to segment...",The Valley's CW,United States,Ohio,English
29-Jan-2019 12:16PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.mylubbocktv.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",My Lubbock TV,United States,,English
29-Jan-2019 12:15PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.magic1065.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",Magic 106.5,United States,,English
29-Jan-2019 12:15PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,https://www.rfdtv.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",Rfd-Tv,United States,,English
29-Jan-2019 12:14PM,东莞市第五人民医院64排CT维保项目单一来源公示,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/201901/t20190129_11584298.htm,一、采购人：东莞市第五人民医院\n\n二、采购项目编号：441900-201901-0006005503-0002\n\n三、采购项目名称：东莞市第五人民医院64排CT维保项目\n\n四、采购项目预算金额（元）：1650000元\n\n五、拟采购的货物或者服务的说明...,中国政府采购网,China,Beijing,Chinese (simpl.)
29-Jan-2019 12:12PM,广电电气2018年净利增加9786万至1.25亿元 增长442%至564%,http://caifuhao.eastmoney.com/news/20190129111235123585440,挖贝网 1月29日消息，广电电气（601616）近日发布2018年业绩预增公告，公司预计2018年年度实现归属于上市公司股东的净利润与上年同期相比，将增加9786.16万元至1.25亿元，同比增加442.04%至564.00%。...,财富号,China,Shanghai,Chinese (simpl.)
29-Jan-2019 12:11PM,福建诚信招标有限公司关于华侨大学校医院GE彩超维保服务项目公开招标公告,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201901/t20190129_11584273.htm,福建诚信招标有限公司受华侨大学委托，根据《中华人民共和国政府采购法》等有关规定，现对华侨大学校医院GE彩超维保服务进行公开招标，欢迎合格的供应商前来投标。\n\n项目名称：华侨大学校医院GE彩超维保服务\n\n项目编号：CXQZ19002\n\n项目联系方式：\n\n项目联系人：小李...,中国政府采购网,China,Beijing,Chinese (simpl.)
29-Jan-2019 12:11PM,"Global Electrophysiology Catheters Market Forecast to 2025 with - CBS News 8 - San Diego, CA News Station - KFMB Channel 8",http://www.cbs8.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",KFMB-TV CBS-8,United States,California,English
29-Jan-2019 12:11PM,"The Future Of Work Is Collaborative, Not Competitive #Jointhecollective",https://www.forbes.com/sites/johnwinsor/2019/01/28/the-future-of-work-is-collaborative-not-competitive-jointhecollective/,"Companies need to help each other. As work becomes more digitized and decentralized, companies must rapidly adapt to remain solvent and...",Forbes,United States,,English
29-Jan-2019 12:09PM,广电电气2018年净利增加9786万至1.25亿元 增长442%至564%,http://stock.hexun.com/2019-01-29/196020173.html,挖贝网 1月29日消息，广电电气(601616)（601616）近日发布2018年业绩预增公告，公司预计2018年年度实现归属于上市公司股东的净利润与上年同期相比，将增加9786.16万元至1.25亿元，同比增加442.04%至564.00%。...,和讯股票,China,Beijing,Chinese (simpl.)
29-Jan-2019 12:09PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.lubbockcw.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",The CW Lubbock,United States,,English
29-Jan-2019 12:08PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.nbc29.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of &lsquo;Global Electrophysiology Catheters Market Insights, Forecast to 2025&rsquo; report are to define and to segment...",NBC29 WVIR,United States,Virginia,English
29-Jan-2019 12:07PM,Global Electrophysiology Catheters Market Forecast to 2025 with,http://www.kasa.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,KASA,United States,New Mexico,English
29-Jan-2019 12:05PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.wfmj.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of &lsquo;Global Electrophysiology Catheters Market Insights, Forecast to 2025&rsquo; report are to define and to segment...",WFMJ TV-21,United States,Ohio,English
29-Jan-2019 12:04PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.kfmbfm.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",KfmBfm.com,United States,California,English
29-Jan-2019 12:04PM,营商环境优化，高端资源汇聚 到黄埔去，产业有了“创新源”,http://www.dzwww.com/xinwen/guoneixinwen/201901/t20190129_18345646.htm,广州金域医学检验集团股份有限公司病理诊断中心内，工作人员正在进行检测。 李剑锋摄（中经视觉）...,大众网,China,Shandong,Chinese (simpl.)
29-Jan-2019 12:04PM,70 Million-Dollar Turbines for Bridge Power Project Unveiled,https://www.modernghana.com/news/911914/70-million-dollar-turbines-for-bridge-power-project-unveiled.html,"The Government, in collaboration with the Hungary Government, on Monday unveiled a 70 million-dollar General Electric (GE) turbines built...",Modern Ghana,Ghana,,English
29-Jan-2019 12:03PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.kxxv.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of &lsquo;Global Electrophysiology Catheters Market Insights, Forecast to 2025&rsquo; report are to define and to segment...",KXXV-TV News Channel 25,United States,Texas,English
29-Jan-2019 12:03PM,[전문]황교안 “문 정권-귀족노조 결탁 서민 삶 나락”,http://www.skyedaily.com/news/news_view.html?ID=81386,▲ 보수 대선후보 1위를 달리고 있는 황교안 전 국무총리가 자유한국당 대표 당권 도전에 나섰다. 그는 문재인 정부를 폭정이라고 규정지으며 결연하고 가열차게 투쟁의 선봉에 설 것이라고 선언했다. [사진 = 박미나 차장] ⓒ스카이데일리\n\n황교안 전...,스카이데일리,Korea,,Korean
29-Jan-2019 12:03PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.1077yesfm.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",107.7 Yes FM,United States,,English
29-Jan-2019 12:03PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.wsiltv.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of &lsquo;Global Electrophysiology Catheters Market Insights, Forecast to 2025&rsquo; report are to define and to segment...",WSIL-TV,United States,Illinois,English
29-Jan-2019 12:02PM,【北大EMBA分享】哪些领域，中国可以自信地说不？,http://www.pinlue.com/article/2019/01/2911/208083212402.html,阅\n\n收藏 赞 分享\n\n分享到：\n\n改革开放40年，民营企业为国家贡献了超过了70%的技术创新成果，他们不畏艰难地创新，打破了垄断、消除了壁垒，填补了行业的空白，也成就了我们每个人的美好生活。\n\n但创新背后绝不是一条坦途，这条路上充满荆棘，他们如何不断奔跑？...,品略,China,,Chinese (simpl.)
29-Jan-2019 12:02PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.doublet973.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",Double T 97.3,United States,,English
29-Jan-2019 12:02PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.telemundolubbock.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of ‘Global Electrophysiology Catheters Market Insights, Forecast to 2025’ report are to define and to segment the market...",Telemundo Lubbock,United States,Texas,English
29-Jan-2019 12:01PM,Global Electrophysiology Catheters Market Forecast to 2025 with Key Companies Profile,http://www.kuam.com/story/39866416/global-electrophysiology-catheters-market-forecast-to-2025-with-key-companies-profile,"The objectives of &lsquo;Global Electrophysiology Catheters Market Insights, Forecast to 2025&rsquo; report are to define and to segment...",Kuam News,United States,,English
29-Jan-2019 12:01PM,Ӫ�̻����Ż����߶���Դ��� ������ȥ����ҵ���ˡ�����Դ��,http://news.eastday.com/eastday/13news/auto/news/china/20190129/u7ai8353627.html,    \n\n    ���ݽ���ҽѧ���鼯�Źɷ����޹�˾������������ڣ�������Ա���ڽ��м�⡣ ����㣨�о��Ӿ���...,东方网,China,Shanghai,Russian
